FoamType,Rho(lb/ft^3),E11(psi),E22(psi),E33(psi),E33/rho(in/10^6),DataSource
Spyderfoam,2.3,4000,6900,0,5.18,MarkDrela
Spyderfoam,2.36,1218,3358,7027,5.14,PhilBarnes
HiLoad60,2.25,1100,3400,6000,4.61,MarkDrela
HiLoad60a,2.3,1229,2819,6212,4.67,PhilBarnes
HiLoad60b,2.3,1412,2888,6412,4.82,PhilBarnes
DowBlue,1.75,2000,640,2500,2.47,MarkDrela
Foamular250a,1.63,2317,1899,2372,2.51,PhilBarnes
Foamular250b,1.63,2430,1972,2476,2.62,PhilBarnes
Foamular400a,1.98,2788,2946,2941,2.54,PhilBarnes
Foamular400b,1.98,2920,3088,3087,2.67,PhilBarnes
Formular600a,3.04,4927,4927,5108,2.9,PhilBarnes
Foamular600b,3.04,4716,4807,5251,2.98,PhilBarnes
GreyFoama,1.54,2894,1054,640,0.72,PhilBarnes
GreyFoamb,1.54,2845,1105,588,0.66,PhilBarnes
StyliteA,1.93,1877,2906,3489,3.12,PhilBarnes
StyliteB,1.93,1847,2854,3416,3.06,PhilBarnes
Rohacell31,1.9,5120,5120,5120,4.66,CST
Rohacell51,3.1,9950,9950,9950,5.55,CST